property_id,city,stratum,latitude,longitude,area_sqm,price_per_sqm,pred_price_per_sqm,bir_zonal_rr_median,listing_gap,model_gap,listing_gap_pct,model_gap_pct
397,Cebu City,Condominium,10.3171314,123.8829967,20.0,135000.0,144518.19985073849,23700.0,111300.0,120818.19985073849,469.62025316455697,509.7814339693607
398,Lapu-Lapu City,Condominium,10.2821291,123.96405,60.0,103516.0,127735.3233998116,10000.0,93516.0,117735.3233998116,935.16,1177.3532339981161
400,Cebu City,Condominium,10.269927,123.872523,29.0,234824.1379310345,181053.23924245298,17500.0,217324.1379310345,163553.23924245298,1241.8522167487686,934.5899385283028
405,Cebu City,Condominium,10.3417299,123.8974558,72.0,218055.55555555556,173751.21674240363,30000.0,188055.55555555556,143751.21674240363,626.851851851852,479.1707224746788
406,Cebu City,Condominium,10.3182439,123.903733,109.0,437614.6788990826,251694.54704891852,51250.0,386364.6788990826,200444.54704891852,753.8823002908929,391.111311314963
412,Lapu-Lapu City,Condominium,10.2907917,124.002551,102.0,185500.0,180623.6280006219,4125.0,181375.0,176498.6280006219,4396.969696969697,4278.754618196895
417,Cebu City,Condominium,10.3328036,123.9090696,22.0,227272.7272727273,198640.5286150972,28800.0,198472.7272727273,169840.5286150972,689.1414141414142,589.7240576913097
420,Lapu-Lapu City,Condominium,10.3010123,124.0157874,33.0,128939.39393939394,176185.92864823056,5000.0,123939.39393939394,171185.92864823056,2478.787878787879,3423.7185729646117
423,Lapu-Lapu City,Condominium,10.2987618,124.0157325,52.0,250000.0,203481.33992903624,5000.0,245000.0,198481.33992903624,4900.0,3969.6267985807244
425,Cebu City,Condominium,10.3376616,123.9079235,55.0,153705.81818181818,163545.7985908608,28800.0,124905.81818181818,134745.7985908608,433.70075757575756,467.86735621826665
426,Cebu City,Condominium,10.3329596,123.8948853,58.0,275862.0689655172,239693.33668843572,30000.0,245862.06896551722,209693.33668843572,819.5402298850574,698.9777889614525
434,Lapu-Lapu City,Condominium,10.28410958,123.97552209,34.0,177263.91176470587,95856.32928296279,10000.0,167263.91176470587,85856.32928296279,1672.6391176470588,858.5632928296279
